,Song Title,Song Lyrics
0,smashintoyou,"head down as i watch my feet take turns hitting the ground eyes shut i find myself in love racing the earth and im soaked in your love and love was right in my path, in my grasp and me and you belong  i wanna run (run) smash into you i wanna run (run) and smash into you  ears closed what i hear no one else has to know cause i know that what we have is worth first place in gold and im soaked in your love and love is right in my path, in my grasp and me and you belong, oh...  i wanna run (run) smash into you i wanna run (run) smash into you smash into you oh......  head down as i watch my feet take turns hitting the ground eyes shut im in love and im racing the earth and im soaked in your love and love is right in my path, in my grasp and me and you belong oh...i wanna run smash into you im willing to run (run) smash into you im willing to run, run, run, run, ooh ooh ooh ooh ooh im willing to run, run, run, run, ooh ooh ooh ooh ooh i wanna run, run smash into you im willing to run (run) smash into you"
1,daddylessons,"yee-haw oh, oh, oh texas, texas (ooh, ooh, ooh) texas  came into this world daddys little girl and daddy made a soldier out of me (ooh, ooh, ooh) daddy made me dance and daddy held my hand (ooh, ooh, ooh) and daddy liked his whiskey with his tea  and we rode motorcycles blackjack, classic vinyl tough girl is what i had to be he said, take care of your mother watch out for your sister and oh, thats when he gave to me...  with his gun and his head held high he told me not to cry oh, my daddy said shoot oh, my daddy said shoot with his right hand on his rifle he swore it on the bible my daddy said shoot oh, my daddy said shoot he held me in his arms and he taught me to be strong he told me when hes gone heres what you do when trouble comes to town and men like me come around oh, my daddy said shoot oh, my daddy said shoot  (ooh, ooh, ooh) yee, woo (ooh, ooh, ooh) yee-haw (woo)  daddy made me fight it wasnt always right but he said, girl, its your second amendment (ooh, ooh, ooh) he always played it cool but daddy was no fool and right before he died he said remember...  he said, take care of your mother watch out for your sister and thats when daddy looked at me...  with his gun, with his head held high he told me not to cry oh, my daddy said shoot oh, my daddy said shoot with his right hand on his rifle he swore it on the bible my daddy said shoot oh, my daddy said shoot cause he held me in his arms and he taught me to be strong and he told me when hes gone heres what you do when trouble comes to town and men like me come around oh, my daddy said shoot oh, my daddy said shoot (woo)  (ooh, ooh, ooh) (ooh, ooh, ooh) (ooh, ooh, ooh) (ooh, ooh, ooh) (yeehaw)  my daddy warned me about men like you he said, baby girl, hes playing you hes playing you my daddy warned me about men like you he said, baby girl, hes playing you hes playing you cause when trouble comes in town and men like me come around oh, my daddy said shoot oh, my daddy said shoot cause when trouble comes to town and men like me come around oh, my daddy said shoot oh, my daddy said shoot  (good job bey, hahaha)"
2,speechless,"youve got me youve got me youve got me youve got me speechless  where you been baby waited for you all day waited for you to use the key that opens my place my heart starts trembling as i hear your footsteps pace lock opens, doorknob turns there appears your face  going out my head i think im losing all my mind drive me crazy burning candles making love all night feels so strange it feels so crazy to be in your world in your arms lost for words youve got me!  youve got me youve got me youve got me youve got me speechless  laying so closely i feel your skin rubbing and touching me only sweat between us feeling you kissing and pleasing me i rub your back i kiss your neck i know that you love when we touch like that i can feel you need me feels so good to me feels so good to me  going out my head i think im losing all my mind drive me crazy burning candles making love all night feels so strange it feels so crazy to be in your world in your arms lost for words youve got me!  youve got me youve got me youve got me youve got me speechless  yes, yes, yes yes, yes, yes speechless, all i can say is yes, yes, yes, all i can say is yes, yes, yes, yes  kiss me hold me youve got me speechless"
3,oye,"oye, lo que tengo que decir no puedo ya seguir viviendo asã­ oye (uhum) como llora mi canciã³n preciso tu atenciã³n debes oã­r hoy no sã© quiã©n soy ni sã© a dã³nde voy encontrarme hoy es mi misiã³n de tu prisiã³n por fin ya soy libre  oye... esto no tiene salida ya nada sirve que digas tengo que escapar yo tengo que escuchar a mi corazã³n hoy... buscarã© mi propia luz no seas insensible soy mã¡s de lo que fui por ti llena de valor voy a partir yo tengo que encontrar mi voz  nunca quisiste que me fuera a volar callar mi identidad, que gran error hoy grito no tengo mã¡s temor hoy tu alumna te dice adiã³s de tu prisiã³n por fin ya soy libre  oye... esto no tiene salida ya nada sirve que digas tengo que escapar yo tengo que escuchar a mi corazã³n oye... buscarã© mi propia luz no seas insensible soy mã¡s de lo que fui por ti llena de valor voy a partir yo tengo que encontrar mi voz  yo soy tu gran creaciã³n por eso es que me voy dime adiã³s, dime adiã³s  oye... lo que tengo que decir no puedo ya seguir viviendo asã­ ya me voy buscarã© mi propia luz no seas insensible soy mã¡s de lo que fui por ti llena de valor hoy ya lo decidã­ yo tengo que encontrar mi voz mi voz"
4,avemaria,"she was lost in so many different ways out in the darkness with no guide i know the cost of a losing hand never for the grace of god, oh i...  i found heaven on earth you are my last, my first and then i hear this voice inside... ave maria  ive been alone when im surrounded by friends how could the silence be so loud? but i still go on, knowing that ive got you theres only us when the lights go down  you are my heaven on earth you are my hunger, my thirst i always hear this voice inside... saying ave maria  sometimes love can come and pass you by while youre busy making plans. suddenly hits you, and then you realize its out of your hands... baby, youve got to understand  you are my heaven on earth you are my last, my first and then i hear this voice inside...  ave maria ave maria ave maria"
5,halo,"remember those walls i built? well, baby theyre tumbling down and they didnt even put up a fight they didnt even make a sound i found a way to let you in but i never really had a doubt standing in the light of your halo i got my angel now  its like ive been awakened every rule i had you breakin its the risk that im taking i aint never gonna shut you out!  everywhere im looking now im surrounded by your embrace baby, i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby, i can feel your halo pray it wont fade away  i can feel your halo, halo, halo i can see your halo, halo, halo i can feel your halo, halo, halo i can see your halo, halo... halo, ooh ooh...  hit me like a ray of sun burning through my darkest night youre the only one that i want think im addicted to your light i swore id never fall again but this dont even feel like falling gravity cant begin to pull me back to the ground again  and its like ive been awakened every rule i had you breakin its the risk that im taking im never gonna shut you out!  everywhere im looking now im surrounded by your embrace baby, i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby, i can feel your halo pray it wont fade away  i can feel your halo, halo, halo i can see your halo, halo, halo i can feel your halo, halo, halo i can see your halo, halo... halo, ooh ooh... i can feel your halo, halo, halo i can see your halo, halo, halo i can feel your halo, halo, halo i can see your halo, halo... halo, ooh ooh... halo, ooh ooh... halo, ooh ooh, oh...  everywhere im looking now im surrounded by your embrace baby, i can see your halo you know youre my saving grace youre everything i need and more its written all over your face baby, i can feel your halo pray it wont fade away  i can feel your halo, halo, halo i can see your halo, halo, halo i can feel your halo, halo, halo i can see your halo, halo... halo, ooh oh... i can feel your halo, halo, halo i can see your halo, halo, halo i can feel your halo, halo, halo i can see your halo, halo... halo, ooh oh..."
6,swinglowsweetchariot,"[chorus:] swing low, sweet chariot, comin for to carry me home; swing low, sweet chariot, comin for to carry me home.  i looked over jordan, and what did i see, comin for to carry me home, a band of angels comin after me, comin for to carry me home.  [repeat chorus:]  if you get there before i do, comin for to carry me home, tell all my friends im comin too, comin for to carry me home."
7,worldwidewomen,"im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl  international no specific area code  whether its them project homes  overseas on them cobble-stone roads i can just about upload what you need and all the essentials  believe me im what you looking for  login b backslash o n c each day baby  im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl  if its like a mac you own maximize the full potential  baby if you connect with me im just like your high-speed cable even if you gotta fly to where they drive on the passenger side  ill be the like the autobahn when you get on you wont know how to let go  browsing wont do  you got to click right here come find me ill assure you  the places youve never been ill take you  im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl  i want love like any world-wide woman would need i know you think that cant be still got sensitivity in my world, its hard to get authenticity but you feel so damn real to me come take the lead enjoy this world with me  im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl  im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl im a world-wide woman www you can log on anywhere your girl can take you there world-wide woman www you know im the type of girl  im a world-wide woman im a world-wide woman im a world-wide woman im a world-wide woman"
8,freedom,"[beyoncã©:] tryna reign, tryna rain on the thunder tell the storm im new ima walk, ima march on the regular painting white flags blue lord forgive me, ive been running running blind in truth ima rain, ima reign on this bitter love tell the sweet im new  im telling these tears, ""gonna fall away, fall away"" may the last one burn into flames  freedom! freedom! i cant move freedom, cut me loose! freedom! freedom! where are you? cause i need freedom too! i break chains all by myself wont let my freedom rot in hell hey! ima keep running cause a winner dont quit on themselves  ima wade, ima wave through the waters til the tide, ""dont move"" ima riot, ima riot through your borders call me bullet proof lord forgive me, ive been runnin runnin blind in truth ima wade, ima wave through your shallow love tell the deep im new  im telling these tears, ""gonna fall away, fall away"" may the last one burn into flames  freedom! freedom! i cant move freedom, cut me loose! freedom! freedom! where are you? cause i need freedom too! i break chains all by myself wont let my freedom rot in hell hey! ima keep running cause a winner dont quit on themselves  [kendrick lamar:] ten hail marys, i meditate for practice (one, two) channel 9 news tell me im movin backwards eight blacks left, death is around the corner seven misleadin statements by my persona six headlights wavin in my direction come on five-o askin me whats in my possession yeah, i keep runnin, jump in the aqua ducts fire hydrants and hazardous smoke alarms on the back of us but, mama, dont cry for me, ride for me try for me, live for me breathe for me, sing for me honesty guidin me i can be me more than i gotta be stole from me, lied to me, nation hypocrisy cold on me, driving me wicked, my spirit inspired me like yeah  open correctional gates in high deserts yeah, open our mind as we cast away oppression yeah, open the streets and watch our beliefs and when they carve my name inside the concrete i pray it forever reads  [beyoncã©:] freedom! freedom! i cant move freedom, cut me loose! freedom! freedom! where are you? cause i need freedom too! i break chains all by myself wont let my freedom rot in hell hey! ima keep running cause a winner dont quit on themselves  [kendrick lamar:] what you want from me? is it true you see, uh? oh, father, can you hear me? what you want from me? is it true you see, uh? oh, father, can you hear me? hear me?  [hattie white:] i had my ups and downs, but i always find the inner strength to pull myself up. i was served lemons, but i made lemonade"
9,timetocomehome,it doesnt matter where you been  or what you did wrong   it doesnt matter who you are  youre always welcome  it only matters that your heart believes  and you confess   if you committed any sin youll be forgiven   callin on all of gods children  time to come home  if you wanna be delivered  time to come home  ive been rescued by the savior  time to come home  if you wanna be in his favor  time to come home   come on home  come on come on home  oooh yeah yeah  come on home   if you cant see your way out  and youre drowning in your regrets   if you have everything you want  but you still cant find happiness   cuz when you feel like youre forsaken  life can be so hopeless   maybe you need to come home  so your life can be planned   oooh   gods children  time to come home  if you wanna be delivered  time to come home  ive been rescued by the savior  time to come home  if you wanna be  you need to be  time to come home   dont bare the burden all by yourself  (by yourself)  the redeemers here hes gonna give you help  (give you help)  come unto him and he will give you rest  for any heart thats heavy laden for salvation  ooh   calling all gods children  time to come home  if you wanna be delivered  time to come home  ive been rescued by the savior  time to come home  if you wanna be in his favor  time to come home   my home  your home  in his everlasting arms  my home  your home  in his everlasting arms  dont you know its time to come home  time to come home  deliver me  ive been rescued by the savior  dont you wanna be in his favor  yeah  my home  your home  in his everlasting arms  my home  your home  in his everlasting arms  if you wanna be in his favor  my home  your home  in his everlasting arms  my home  your home  in his everlasting arms   time to come home
